Maltese,English,mt_tokens,en_tokens
"Kull wieħed mis-27 Stat Membru se jkollu stand li turi t-tradizzjonijiet, l-ispeċjalitajiet tal-ikel u l-attrazzjonijiet turistiċi nazzjonali.","Each of the 27 Member States will have a stand putting on display national traditions, food specialities and touristic attractions.","['Kull', 'wieħed', 'mis-27', 'Stat', 'Membru', 'se', 'jkollu', 'stand', 'li', 'turi', 't', '-', 'tradizzjonijiet', ',', 'l', '-', 'ispeċjalitajiet', 'tal', '-', 'ikel', 'u', 'l', '-', 'attrazzjonijiet', 'turistiċi', 'nazzjonali', '.']","['Each', 'of', 'the', '27', 'Member', 'States', 'will', 'have', 'a', 'stand', 'putting', 'on', 'display', 'national', 'traditions', ',', 'food', 'specialities', 'and', 'touristic', 'attractions', '.']"
"It-tfal se jkunu l-mistednin speċjali tagħna b'ħafna attivitajiet divertenti, inkluż spettaklu tal-pupazzi.","Kids will be our special guests with a lot of fun activities, including a puppet show.","['It', '-', 'tfal', 'se', 'jkunu', 'l', '-', 'mistednin', 'speċjali', 'tagħna', ""b'ħafna"", 'attivitajiet', 'divertenti', ',', 'inkluż', 'spettaklu', 'tal', '-', 'pupazzi', '.']","['Kids', 'will', 'be', 'our', 'special', 'guests', 'with', 'a', 'lot', 'of', 'fun', 'activities', ',', 'including', 'a', 'puppet', 'show', '.']"
"B'mod parallel mal-emenda tal-lum, il-Kummissjoni se tniedi wkoll reviżjonitar-Regolament Agrikolu de minimis, fid-dawl tal-pressjoni inflazzjonarja f'dawn l-aħħar snin u l-kuntest attwali fejn, fost l-oħrajn, prezzijiet għoljin tal-komoditajiet qed jaffettwaw is-settur agrikolu.","In parallel to today's amendment, the Commission will also launch a revision of the Agricultural de minimis Regulation, in light of the inflationary pressure in recent years and the current context with, amongst others, high commodity prices affecting the agricultural sector.","[""B'mod"", 'parallel', 'mal', '-', 'emenda', 'tal', '-', 'lum', ',', 'il', '-', 'Kummissjoni', 'se', 'tniedi', 'wkoll', 'reviżjonitar', '-', 'Regolament', 'Agrikolu', 'de', 'minimis', ',', 'fid', '-', 'dawl', 'tal', '-', 'pressjoni', 'inflazzjonarja', ""f'dawn"", 'l', '-', 'aħħar', 'snin', 'u', 'l', '-', 'kuntest', 'attwali', 'fejn', ',', 'fost', 'l', '-', 'oħrajn', ',', 'prezzijiet', 'għoljin', 'tal', '-', 'komoditajiet', 'qed', 'jaffettwaw', 'is', '-', 'settur', 'agrikolu', '.']","['In', 'parallel', 'to', 'today', ""'s"", 'amendment', ',', 'the', 'Commission', 'will', 'also', 'launch', 'a', 'revision', 'of', 'the', 'Agricultural', 'de', 'minimis', 'Regulation', ',', 'in', 'light', 'of', 'the', 'inflationary', 'pressure', 'in', 'recent', 'years', 'and', 'the', 'current', 'context', 'with', ',', 'amongst', 'others', ',', 'high', 'commodity', 'prices', 'affecting', 'the', 'agricultural', 'sector', '.']"
"Se jkun hemm attivitajiet speċjali li jenfasizzaw l-20 anniversarju tat-tkabbir tal-UE tal-2004, il-25 sena tal-ewro u t-30 sena tas-Suq Uniku.","Special activities will highlight the 20th anniversary of the 2004 EU enlargement, 25 years of the euro and 30 years of the Single Market.","['Se', 'jkun', 'hemm', 'attivitajiet', 'speċjali', 'li', 'jenfasizzaw', 'l-20', 'anniversarju', 'tat', '-', 'tkabbir', 'tal', '-', 'UE', 'tal-2004', ',', 'il-25', 'sena', 'tal', '-', 'ewro', 'u', 't-30', 'sena', 'tas', '-', 'Suq', 'Uniku', '.']","['Special', 'activities', 'will', 'highlight', 'the', '20th', 'anniversary', 'of', 'the', '2004', 'EU', 'enlargement', ',', '25', 'years', 'of', 'the', 'euro', 'and', '30', 'years', 'of', 'the', 'Single', 'Market', '.']"
"Fl-istand tal-Bank Ewropew tal-Investiment għal Jum l-Ewropa fi Brussell fl-4 ta' Mejju u fil-Lussemburgu fid-9 ta' Mejju (ara d-dettalji hawnhekk), il-viżitaturi jistgħu jesploraw il-proġetti ikoniċi ffinanzjati mill-BEI f'pajjiżhom.","At the European Investment Bank's stand for Europe Day in Brussels on 4 May and in Luxembourg on 9 May (see details here), visitors can explore the iconic projects financed by the EIB in their country.","['Fl', '-', 'istand', 'tal', '-', 'Bank', 'Ewropew', 'tal', '-', 'Investiment', 'għal', 'Jum', 'l', '-', 'Ewropa', 'fi', 'Brussell', 'fl-4', 'ta', ""'"", 'Mejju', 'u', 'fil', '-', 'Lussemburgu', 'fid-9', 'ta', ""'"", 'Mejju', '(', 'ara', 'd', '-', 'dettalji', 'hawnhekk', ')', ',', 'il', '-', 'viżitaturi', 'jistgħu', 'jesploraw', 'il', '-', 'proġetti', 'ikoniċi', 'ffinanzjati', 'mill', '-', 'BEI', ""f'pajjiżhom"", '.']","['At', 'the', 'European', 'Investment', 'Bank', ""'s"", 'stand', 'for', 'Europe', 'Day', 'in', 'Brussels', 'on', '4', 'May', 'and', 'in', 'Luxembourg', 'on', '9', 'May', '(', 'see', 'details', 'here', ')', ',', 'visitors', 'can', 'explore', 'the', 'iconic', 'projects', 'financed', 'by', 'the', 'EIB', 'in', 'their', 'country', '.']"
"Biex tissodisfa d-domanda għolja, f'Jannar 2024, il-Kummissjoni ddeċidiet li tittriplika l-baġit inizjali allokat għal EUR 4.5 miljun, issa tiffinanzja 65 proġett, inklużi 324 riċerkatur.","To meet the high demand, in January 2024, the Commission decided to triple the initial allocated budget to €4.5 million, now funding 65 projects, including 324 researchers.","['Biex', 'tissodisfa', 'd', '-', 'domanda', 'għolja', ',', ""f'Jannar"", '2024', ',', 'il', '-', 'Kummissjoni', 'ddeċidiet', 'li', 'tittriplika', 'l', '-', 'baġit', 'inizjali', 'allokat', 'għal', 'EUR', '4.5', 'miljun', ',', 'issa', 'tiffinanzja', '65', 'proġett', ',', 'inklużi', '324', 'riċerkatur', '.']","['To', 'meet', 'the', 'high', 'demand', ',', 'in', 'January', '2024', ',', 'the', 'Commission', 'decided', 'to', 'triple', 'the', 'initial', 'allocated', 'budget', 'to', '€', '4.5', 'million', ',', 'now', 'funding', '65', 'projects', ',', 'including', '324', 'researchers', '.']"
"Fid-9 ta' Mejju, l-Ewropa tfakkar id-dokument fundatur tal-UE — id-Dikjarazzjoni ta' Schuman.","On 9 May, Europe commemorates the founding document of the EU – the Schuman Declaration.","['Fid-9', 'ta', ""'"", 'Mejju', ',', 'l', '-', 'Ewropa', 'tfakkar', 'id', '-', 'dokument', 'fundatur', 'tal', '-', 'UE', '—', 'id', '-', 'Dikjarazzjoni', 'ta', ""'"", 'Schuman', '.']","['On', '9', 'May', ',', 'Europe', 'commemorates', 'the', 'founding', 'document', 'of', 'the', 'EU', '–', 'the', 'Schuman', 'Declaration', '.']"
Se jkun hemm żjarat iggwidati tal-wirja VOTE (Parlamentarium) fi Brussell.,There will be guided tours of the VOTE exhibition (Parlamentarium) in Brussels.,"['Se', 'jkun', 'hemm', 'żjarat', 'iggwidati', 'tal', '-', 'wirja', 'VOTE', '(', 'Parlamentarium', ')', 'fi', 'Brussell', '.']","['There', 'will', 'be', 'guided', 'tours', 'of', 'the', 'VOTE', 'exhibition', '(', 'Parlamentarium', ')', 'in', 'Brussels', '.']"
Dan ir-Regolament jeżenta ammonti żgħar ta' appoġġ fis-settur agrikolu mill-kontroll tal-għajnuna mill-Istat peress li jitqiesu li ma għandhom l-ebda impatt fuq il-kompetizzjoni u l-kummerċ fis-Suq Uniku.,This Regulation exempts small amounts of support in the agricultural sector from State aid control since they are deemed to have no impact on competition and trade in the Single Market.,"['Dan', 'ir', '-', 'Regolament', 'jeżenta', 'ammonti', 'żgħar', 'ta', ""'"", 'appoġġ', 'fis', '-', 'settur', 'agrikolu', 'mill', '-', 'kontroll', 'tal', '-', 'għajnuna', 'mill', '-', 'Istat', 'peress', 'li', 'jitqiesu', 'li', 'ma', 'għandhom', 'l', '-', 'ebda', 'impatt', 'fuq', 'il', '-', 'kompetizzjoni', 'u', 'l', '-', 'kummerċ', 'fis', '-', 'Suq', 'Uniku', '.']","['This', 'Regulation', 'exempts', 'small', 'amounts', 'of', 'support', 'in', 'the', 'agricultural', 'sector', 'from', 'State', 'aid', 'control', 'since', 'they', 'are', 'deemed', 'to', 'have', 'no', 'impact', 'on', 'competition', 'and', 'trade', 'in', 'the', 'Single', 'Market', '.']"
10 % mill-enerġija,10% Energy,"['10', '%', 'mill', '-', 'enerġija']","['10', '%', 'Energy']"
"Taqsima 2.8: Miżuri biex jiġu aċċellerati iktar l-investimenti fis-setturi essenzjali għat-tranżizzjoni lejn ekonomija b'emissjonijiet żero netti, li jippermettu appoġġ għall-investiment għall-manifattura ta' tagħmir strateġiku, jiġifieri batteriji, pannelli solari, turbini eoliċi, pompi tas-sħana, elettrolizzaturi u l-użu tal-qbid tal-karbonju u l-ħżin tiegħu kif ukoll għall-produzzjoni ta' komponenti ewlenin u għall-produzzjoni u r-riċiklaġġ ta' materja prima kritika relatata.","Section 2.8: Measures to further accelerate investments in key sectors for the transition towards a net-zero economy, enabling investment support for the manufacturing of strategic equipment, namely batteries, solar panels, wind turbines, heat-pumps, electrolysers and carbon capture usage and storage as well as for production of key components and for production and recycling of related critical raw materials.","['Taqsima', '2.8', ':', 'Miżuri', 'biex', 'jiġu', 'aċċellerati', 'iktar', 'l', '-', 'investimenti', 'fis', '-', 'setturi', 'essenzjali', 'għat', '-', 'tranżizzjoni', 'lejn', 'ekonomija', ""b'emissjonijiet"", 'żero', 'netti', ',', 'li', 'jippermettu', 'appoġġ', 'għall', '-', 'investiment', 'għall', '-', 'manifattura', 'ta', ""'"", 'tagħmir', 'strateġiku', ',', 'jiġifieri', 'batteriji', ',', 'pannelli', 'solari', ',', 'turbini', 'eoliċi', ',', 'pompi', 'tas', '-', 'sħana', ',', 'elettrolizzaturi', 'u', 'l', '-', 'użu', 'tal', '-', 'qbid', 'tal', '-', 'karbonju', 'u', 'l', '-', 'ħżin', 'tiegħu', 'kif', 'ukoll', 'għall', '-', 'produzzjoni', 'ta', ""'"", 'komponenti', 'ewlenin', 'u', 'għall', '-', 'produzzjoni', 'u', 'r', '-', 'riċiklaġġ', 'ta', ""'"", 'materja', 'prima', 'kritika', 'relatata', '.']","['Section', '2.8', ':', 'Measures', 'to', 'further', 'accelerate', 'investments', 'in', 'key', 'sectors', 'for', 'the', 'transition', 'towards', 'a', 'net', '-', 'zero', 'economy', ',', 'enabling', 'investment', 'support', 'for', 'the', 'manufacturing', 'of', 'strategic', 'equipment', ',', 'namely', 'batteries', ',', 'solar', 'panels', ',', 'wind', 'turbines', ',', 'heat', '-', 'pumps', ',', 'electrolysers', 'and', 'carbon', 'capture', 'usage', 'and', 'storage', 'as', 'well', 'as', 'for', 'production', 'of', 'key', 'components', 'and', 'for', 'production', 'and', 'recycling', 'of', 'related', 'critical', 'raw', 'materials', '.']"
It-Taqsima 2.5: Miżuri li jaċċelleraw l-introduzzjoni tal-enerġija rinnovabbli.,Section 2.5: Measures accelerating the rollout of renewable energy.,"['It', '-', 'Taqsima', '2.5', ':', 'Miżuri', 'li', 'jaċċelleraw', 'l', '-', 'introduzzjoni', 'tal', '-', 'enerġija', 'rinnovabbli', '.']","['Section', '2.5', ':', 'Measures', 'accelerating', 'the', 'rollout', 'of', 'renewable', 'energy', '.']"
"Fid-9 ta' Marzu 2023 il-Kummissjoni adottat il-Qafas Temporanju ta' Kriżi u ta' Tranżizzjoni kurrenti biex tħeġġeġ miżuri ta' appoġġ f'setturi li huma essenzjali għat-tranżizzjoni lejn ekonomija newtrali għall-klima, f'konformità mal-Pjan Industrijali tal-Patt Ekoloġiku.","On 9 March 2023, the Commission adopted the current Temporary Crisis and Transition Framework to foster support measures in sectors which are key for the transition to a net-zero economy, in line with the Green Deal Industrial Plan.","['Fid-9', 'ta', ""'"", 'Marzu', '2023', 'il', '-', 'Kummissjoni', 'adottat', 'il', '-', 'Qafas', 'Temporanju', 'ta', ""'"", 'Kriżi', 'u', 'ta', ""'"", 'Tranżizzjoni', 'kurrenti', 'biex', 'tħeġġeġ', 'miżuri', 'ta', ""'"", 'appoġġ', ""f'setturi"", 'li', 'huma', 'essenzjali', 'għat', '-', 'tranżizzjoni', 'lejn', 'ekonomija', 'newtrali', 'għall', '-', 'klima', ',', ""f'konformità"", 'mal', '-', 'Pjan', 'Industrijali', 'tal', '-', 'Patt', 'Ekoloġiku', '.']","['On', '9', 'March', '2023', ',', 'the', 'Commission', 'adopted', 'the', 'current', 'Temporary', 'Crisis', 'and', 'Transition', 'Framework', 'to', 'foster', 'support', 'measures', 'in', 'sectors', 'which', 'are', 'key', 'for', 'the', 'transition', 'to', 'a', 'net', '-', 'zero', 'economy', ',', 'in', 'line', 'with', 'the', 'Green', 'Deal', 'Industrial', 'Plan', '.']"
Ara l-programm sħiħ hawnhekk u l-avvenimenti organizzati fis-27 pajjiż tal-UE hawnhekk.,See the full programme here and the events organised in the 27 EU countries here.,"['Ara', 'l', '-', 'programm', 'sħiħ', 'hawnhekk', 'u', 'l', '-', 'avvenimenti', 'organizzati', 'fis-27', 'pajjiż', 'tal', '-', 'UE', 'hawnhekk', '.']","['See', 'the', 'full', 'programme', 'here', 'and', 'the', 'events', 'organised', 'in', 'the', '27', 'EU', 'countries', 'here', '.']"
"Sadanittant, prodotti agrikoli sensittivi tal-UE bħal-laħam taċ-ċanga, il-laħam tan-nagħaġ u l-prodotti tal-ħalib huma protetti bi kwoti tariffarji mfassla bir-reqqa.","Meanwhile, sensitive EU agricultural products such as beef, sheepmeat and dairy products are protected with carefully designed tariff rate quotas.","['Sadanittant', ',', 'prodotti', 'agrikoli', 'sensittivi', 'tal', '-', 'UE', 'bħal', '-', 'laħam', 'taċ', '-', 'ċanga', ',', 'il', '-', 'laħam', 'tan', '-', 'nagħaġ', 'u', 'l', '-', 'prodotti', 'tal', '-', 'ħalib', 'huma', 'protetti', 'bi', 'kwoti', 'tariffarji', 'mfassla', 'bir', '-', 'reqqa', '.']","['Meanwhile', ',', 'sensitive', 'EU', 'agricultural', 'products', 'such', 'as', 'beef', ',', 'sheepmeat', 'and', 'dairy', 'products', 'are', 'protected', 'with', 'carefully', 'designed', 'tariff', 'rate', 'quotas', '.']"
"Fl-4 ta' Mejju, il-viżitaturi tal-Kunsill fi Brussell se jkollhom l-opportunità jimxu fuq il-passi tal-mexxejja tal-UE.","On 4 May, at the Council in Brussels, visitors will have the opportunity to walk in the footsteps of EU leaders.","['Fl-4', 'ta', ""'"", 'Mejju', ',', 'il', '-', 'viżitaturi', 'tal', '-', 'Kunsill', 'fi', 'Brussell', 'se', 'jkollhom', 'l', '-', 'opportunità', 'jimxu', 'fuq', 'il', '-', 'passi', 'tal', '-', 'mexxejja', 'tal', '-', 'UE', '.']","['On', '4', 'May', ',', 'at', 'the', 'Council', 'in', 'Brussels', ',', 'visitors', 'will', 'have', 'the', 'opportunity', 'to', 'walk', 'in', 'the', 'footsteps', 'of', 'EU', 'leaders', '.']"
L-assemblea tar-reġjuni u l-bliet tal-UE se tiftaħ il-bini tagħha fi Brussell fl-4 ta' Mejju biex tlaqqa' liċ-ċittadini flimkien mal-politiċi eletti reġjonali u lokali.,The EU's assembly of regions and cities will open its Brussels premises on 4 May to bring citizens together with regional and local elected politicians.,"['L', '-', 'assemblea', 'tar', '-', 'reġjuni', 'u', 'l', '-', 'bliet', 'tal', '-', 'UE', 'se', 'tiftaħ', 'il', '-', 'bini', 'tagħha', 'fi', 'Brussell', 'fl-4', 'ta', ""'"", 'Mejju', 'biex', 'tlaqqa', ""'"", 'liċ', '-', 'ċittadini', 'flimkien', 'mal', '-', 'politiċi', 'eletti', 'reġjonali', 'u', 'lokali', '.']","['The', 'EU', ""'s"", 'assembly', 'of', 'regions', 'and', 'cities', 'will', 'open', 'its', 'Brussels', 'premises', 'on', '4', 'May', 'to', 'bring', 'citizens', 'together', 'with', 'regional', 'and', 'local', 'elected', 'politicians', '.']"
"Inizjalment, il-proġett Eurizon antiċipa li jirċievi massimu ta' 70 applikazzjoni u kien mistenni li jappoġġa madwar 22 tim, li jammontaw għal madwar 90 riċerkatur, b'baġit ta' EUR 1.5 miljun.","Initially, the EURIZON project anticipated receiving a maximum of 70 applications and expected to support around 22 teams, totalling approximately 90 researchers, with a budget of €1.5 million.","['Inizjalment', ',', 'il', '-', 'proġett', 'Eurizon', 'antiċipa', 'li', 'jirċievi', 'massimu', 'ta', ""'"", '70', 'applikazzjoni', 'u', 'kien', 'mistenni', 'li', 'jappoġġa', 'madwar', '22', 'tim', ',', 'li', 'jammontaw', 'għal', 'madwar', '90', 'riċerkatur', ',', ""b'baġit"", 'ta', ""'"", 'EUR', '1.5', 'miljun', '.']","['Initially', ',', 'the', 'EURIZON', 'project', 'anticipated', 'receiving', 'a', 'maximum', 'of', '70', 'applications', 'and', 'expected', 'to', 'support', 'around', '22', 'teams', ',', 'totalling', 'approximately', '90', 'researchers', ',', 'with', 'a', 'budget', 'of', '€', '1.5', 'million', '.']"
Il-familji u l-persuni ta' kull età se jkunu jistgħu jitgħallmu kif il-QEA qed tgħin fil-protezzjoni tal-flus taċ-ċittadini tal-UE.,Families and people of all ages will be able to learn how the ECA helps to protect EU citizens' money.,"['Il', '-', 'familji', 'u', 'l', '-', 'persuni', 'ta', ""'"", 'kull', 'età', 'se', 'jkunu', 'jistgħu', 'jitgħallmu', 'kif', 'il', '-', 'QEA', 'qed', 'tgħin', 'fil', '-', 'protezzjoni', 'tal', '-', 'flus', 'taċ', '-', 'ċittadini', 'tal', '-', 'UE', '.']","['Families', 'and', 'people', 'of', 'all', 'ages', 'will', 'be', 'able', 'to', 'learn', 'how', 'the', 'ECA', 'helps', 'to', 'protect', 'EU', 'citizens', ""'"", 'money', '.']"
"Biex ikomplu jaċċelleraw id-diversifikazzjoni tal-provvisti tal-enerġija, l-Istati Membri jistgħu jappoġġaw investimenti għat-tneħħija gradwali tal-fjuwils fossili, b'mod partikolari permezz tal-elettrifikazzjoni, l-effiċjenza enerġetika u l-qlib lejn l-użu tal-idroġenu rinnovabbli u mill-elettriku li jikkonforma ma' ċerti kundizzjonijiet, b'possibbiltajiet estiżi biex tiġi appoġġata d-dekarbonizzazzjoni tal-proċessi industrijali li jaqilbu għal fjuwils derivati mill-idroġenu.","To further accelerate the diversification of energy supplies, Member States can support investments to phase-out from fossil fuels, in particular through electrification, energy efficiency and the switch to the use of renewable and electricity-based hydrogen which complies with certain conditions, with expanded possibilities to support the decarbonisation of industrial processes switching to hydrogen-derived fuels.","['Biex', 'ikomplu', 'jaċċelleraw', 'id', '-', 'diversifikazzjoni', 'tal', '-', 'provvisti', 'tal', '-', 'enerġija', ',', 'l', '-', 'Istati', 'Membri', 'jistgħu', 'jappoġġaw', 'investimenti', 'għat', '-', 'tneħħija', 'gradwali', 'tal', '-', 'fjuwils', 'fossili', ',', ""b'mod"", 'partikolari', 'permezz', 'tal', '-', 'elettrifikazzjoni', ',', 'l', '-', 'effiċjenza', 'enerġetika', 'u', 'l', '-', 'qlib', 'lejn', 'l', '-', 'użu', 'tal', '-', 'idroġenu', 'rinnovabbli', 'u', 'mill', '-', 'elettriku', 'li', 'jikkonforma', 'ma', ""'"", 'ċerti', 'kundizzjonijiet', ',', ""b'possibbiltajiet"", 'estiżi', 'biex', 'tiġi', 'appoġġata', 'd', '-', 'dekarbonizzazzjoni', 'tal', '-', 'proċessi', 'industrijali', 'li', 'jaqilbu', 'għal', 'fjuwils', 'derivati', 'mill', '-', 'idroġenu', '.']","['To', 'further', 'accelerate', 'the', 'diversification', 'of', 'energy', 'supplies', ',', 'Member', 'States', 'can', 'support', 'investments', 'to', 'phase', '-', 'out', 'from', 'fossil', 'fuels', ',', 'in', 'particular', 'through', 'electrification', ',', 'energy', 'efficiency', 'and', 'the', 'switch', 'to', 'the', 'use', 'of', 'renewable', 'and', 'electricity', '-', 'based', 'hydrogen', 'which', 'complies', 'with', 'certain', 'conditions', ',', 'with', 'expanded', 'possibilities', 'to', 'support', 'the', 'decarbonisation', 'of', 'industrial', 'processes', 'switching', 'to', 'hydrogen', '-', 'derived', 'fuels', '.']"
"It-Taqsima 2.1: Ammonti limitati ta' għajnuna, fi kwalunkwe forma sa EUR 280,000 għal kull kumpanija attiva fis-settur agrikolu primarju, u EUR 335,000 għal kumpaniji attivi fis-sajd jew l-akkwakultura sal-31 ta' Diċembru 2024, u sa EUR 2.25 miljun fis-setturi l-oħra kollha sat-30 ta' Ġunju 2024;","Section 2.1: Limited amounts of aid, in any form up to €280,000 per company active in the primary agriculture sector, and €335,000 for companies active in fisheries or aquaculture until 31 December 2024, and up to €2.25 million in all other sectors until 30 June 2024;","['It', '-', 'Taqsima', '2.1', ':', 'Ammonti', 'limitati', 'ta', ""'"", 'għajnuna', ',', 'fi', 'kwalunkwe', 'forma', 'sa', 'EUR', '280,000', 'għal', 'kull', 'kumpanija', 'attiva', 'fis', '-', 'settur', 'agrikolu', 'primarju', ',', 'u', 'EUR', '335,000', 'għal', 'kumpaniji', 'attivi', 'fis', '-', 'sajd', 'jew', 'l', '-', 'akkwakultura', 'sal-31', 'ta', ""'"", 'Diċembru', '2024', ',', 'u', 'sa', 'EUR', '2.25', 'miljun', 'fis', '-', 'setturi', 'l', '-', 'oħra', 'kollha', 'sat-30', 'ta', ""'"", 'Ġunju', '2024', ';']","['Section', '2.1', ':', 'Limited', 'amounts', 'of', 'aid', ',', 'in', 'any', 'form', 'up', 'to', '€', '280,000', 'per', 'company', 'active', 'in', 'the', 'primary', 'agriculture', 'sector', ',', 'and', '€', '335,000', 'for', 'companies', 'active', 'in', 'fisheries', 'or', 'aquaculture', 'until', '31', 'December', '2024', ',', 'and', 'up', 'to', '€', '2.25', 'million', 'in', 'all', 'other', 'sectors', 'until', '30', 'June', '2024', ';']"
"It-Taqsima 2.1, li tippermetti lill-Istati Membri jagħtu ammonti limitati ta' għajnuna, se tiġi eliminata gradwalment sat-30 ta' Ġunju 2024 għas-setturi kollha għajr il-produzzjoni primarja agrikola, is-sajd u l-akkwakultura;","Section 2.1, allowing Member States to grant limited amounts of aid, will phase-out by 30 June 2024 for all sectors other than agricultural primary production, fisheries and aquaculture;","['It', '-', 'Taqsima', '2.1', ',', 'li', 'tippermetti', 'lill', '-', 'Istati', 'Membri', 'jagħtu', 'ammonti', 'limitati', 'ta', ""'"", 'għajnuna', ',', 'se', 'tiġi', 'eliminata', 'gradwalment', 'sat-30', 'ta', ""'"", 'Ġunju', '2024', 'għas', '-', 'setturi', 'kollha', 'għajr', 'il', '-', 'produzzjoni', 'primarja', 'agrikola', ',', 'is', '-', 'sajd', 'u', 'l', '-', 'akkwakultura', ';']","['Section', '2.1', ',', 'allowing', 'Member', 'States', 'to', 'grant', 'limited', 'amounts', 'of', 'aid', ',', 'will', 'phase', '-', 'out', 'by', '30', 'June', '2024', 'for', 'all', 'sectors', 'other', 'than', 'agricultural', 'primary', 'production', ',', 'fisheries', 'and', 'aquaculture', ';']"
"L-avveniment ta' Jum l-Ewropa fil-Parlament Ewropew fl-4 ta' Mejju se jibda b'ċerimonja tal-ftuħ mal-Viċi President Marc Angel (S&D, LU).","The Europe Day event in the European Parliament on 4 May will start with an opening ceremony with Vice-President Marc Angel (S&D, LU).","['L', '-', 'avveniment', 'ta', ""'"", 'Jum', 'l', '-', 'Ewropa', 'fil', '-', 'Parlament', 'Ewropew', 'fl-4', 'ta', ""'"", 'Mejju', 'se', 'jibda', ""b'ċerimonja"", 'tal', '-', 'ftuħ', 'mal', '-', 'Viċi', 'President', 'Marc', 'Angel', '(', 'S&D', ',', 'LU', ')', '.']","['The', 'Europe', 'Day', 'event', 'in', 'the', 'European', 'Parliament', 'on', '4', 'May', 'will', 'start', 'with', 'an', 'opening', 'ceremony', 'with', 'Vice', '-', 'President', 'Marc', 'Angel', '(', 'S&D', ',', 'LU', ')', '.']"
Il-programm sħiħ hu disponibbli hawnhekk.,The full programme is available here.,"['Il', '-', 'programm', 'sħiħ', 'hu', 'disponibbli', 'hawnhekk', '.']","['The', 'full', 'programme', 'is', 'available', 'here', '.']"
15 % ambjent,15% Environment,"['15', '%', 'ambjent']","['15', '%', 'Environment']"
