Maltese,English,mt_tokens,en_tokens
Il-programm sħiħ jinsab hawnhekk.,Full programme here.,"['Il', '-', 'programm', 'sħiħ', 'jinsab', 'hawnhekk', '.']","['Full', 'programme', 'here', '.']"
"Barra minn hekk, l-UE impenjat ruħha li tipprovdi assistenza speċifika u prattika oħra lill-komunità tar-riċerka u l-innovazzjoni tal-Ukrajna.","Furthermore, the EU has committed to providing other specific, practical assistance to the Ukrainian research and innovation community.","['Barra', 'minn', 'hekk', ',', 'l', '-', 'UE', 'impenjat', 'ruħha', 'li', 'tipprovdi', 'assistenza', 'speċifika', 'u', 'prattika', 'oħra', 'lill', '-', 'komunità', 'tar', '-', 'riċerka', 'u', 'l', '-', 'innovazzjoni', 'tal', '-', 'Ukrajna', '.']","['Furthermore', ',', 'the', 'EU', 'has', 'committed', 'to', 'providing', 'other', 'specific', ',', 'practical', 'assistance', 'to', 'the', 'Ukrainian', 'research', 'and', 'innovation', 'community', '.']"
Il-programm sħiħ jinsab hawnhekk.,Full programme here.,"['Il', '-', 'programm', 'sħiħ', 'jinsab', 'hawnhekk', '.']","['Full', 'programme', 'here', '.']"
It-Taqsima 2.4: Għajnuna biex tagħti kumpens għall-prezzijiet għoljin tal-enerġija.,Section 2.4: Aid to compensate for high energy prices.,"['It', '-', 'Taqsima', '2.4', ':', 'Għajnuna', 'biex', 'tagħti', 'kumpens', 'għall', '-', 'prezzijiet', 'għoljin', 'tal', '-', 'enerġija', '.']","['Section', '2.4', ':', 'Aid', 'to', 'compensate', 'for', 'high', 'energy', 'prices', '.']"
"Il-Qafas Temporanju ta' Għajnuna mill-Istat għall-Kriżijiet, li ġie adottat fit-23 ta' Marzu 2022, ippermetta li l-Istati Membri jużaw il-flessibbiltà prevista skont ir-regoli dwar l-għajnuna mill-Istat biex jappoġġaw l-ekonomija fil-kuntest tal-gwerra tar-Russja kontra l-Ukrajna.","The State aid Temporary Crisis Framework, adopted on 23 March 2022, enabled Member States to use the flexibility foreseen under State aid rules to support the economy in the context of Russia's war against Ukraine.","['Il', '-', 'Qafas', 'Temporanju', 'ta', ""'"", 'Għajnuna', 'mill', '-', 'Istat', 'għall', '-', 'Kriżijiet', ',', 'li', 'ġie', 'adottat', 'fit-23', 'ta', ""'"", 'Marzu', '2022', ',', 'ippermetta', 'li', 'l', '-', 'Istati', 'Membri', 'jużaw', 'il', '-', 'flessibbiltà', 'prevista', 'skont', 'ir', '-', 'regoli', 'dwar', 'l', '-', 'għajnuna', 'mill', '-', 'Istat', 'biex', 'jappoġġaw', 'l', '-', 'ekonomija', 'fil', '-', 'kuntest', 'tal', '-', 'gwerra', 'tar', '-', 'Russja', 'kontra', 'l', '-', 'Ukrajna', '.']","['The', 'State', 'aid', 'Temporary', 'Crisis', 'Framework', ',', 'adopted', 'on', '23', 'March', '2022', ',', 'enabled', 'Member', 'States', 'to', 'use', 'the', 'flexibility', 'foreseen', 'under', 'State', 'aid', 'rules', 'to', 'support', 'the', 'economy', 'in', 'the', 'context', 'of', 'Russia', ""'s"", 'war', 'against', 'Ukraine', '.']"
"Xahar qabel l-elezzjonijiet Ewropej (mis-6 sad-9 ta' Ġunju), iċ-ċittadini se jkollhom l-opportunità li jżuru l-istituzzjonijiet tal-UE fi Brussell u lil hinn minnha, u jitgħallmu aktar dwar dak li l-Ewropa tagħmel għalihom u magħhom.","A month ahead of the European elections (from 6 to 9 June), citizens will have the opportunity to visit the EU institutions in Brussels and beyond, learning more about what Europe does for and with them.","['Xahar', 'qabel', 'l', '-', 'elezzjonijiet', 'Ewropej', '(', 'mis-6', 'sad-9', 'ta', ""'"", 'Ġunju', ')', ',', 'iċ', '-', 'ċittadini', 'se', 'jkollhom', 'l', '-', 'opportunità', 'li', 'jżuru', 'l', '-', 'istituzzjonijiet', 'tal', '-', 'UE', 'fi', 'Brussell', 'u', 'lil', 'hinn', 'minnha', ',', 'u', 'jitgħallmu', 'aktar', 'dwar', 'dak', 'li', 'l', '-', 'Ewropa', 'tagħmel', 'għalihom', 'u', 'magħhom', '.']","['A', 'month', 'ahead', 'of', 'the', 'European', 'elections', '(', 'from', '6', 'to', '9', 'June', ')', ',', 'citizens', 'will', 'have', 'the', 'opportunity', 'to', 'visit', 'the', 'EU', 'institutions', 'in', 'Brussels', 'and', 'beyond', ',', 'learning', 'more', 'about', 'what', 'Europe', 'does', 'for', 'and', 'with', 'them', '.']"
"suq tas-servizzi ta' New Zealand aktar miftuħ f'setturi ewlenin bħas-servizzi finanzjarji, it-telekomunikazzjonijiet, it-trasport marittimu u s-servizzi ta' konsenja;","A more open New Zealand services market in key sectors such as financial services, telecommunications, maritime transport and delivery services.","['suq', 'tas', '-', 'servizzi', 'ta', ""'"", 'New', 'Zealand', 'aktar', 'miftuħ', ""f'setturi"", 'ewlenin', 'bħas', '-', 'servizzi', 'finanzjarji', ',', 'it', '-', 'telekomunikazzjonijiet', ',', 'it', '-', 'trasport', 'marittimu', 'u', 's', '-', 'servizzi', 'ta', ""'"", 'konsenja', ';']","['A', 'more', 'open', 'New', 'Zealand', 'services', 'market', 'in', 'key', 'sectors', 'such', 'as', 'financial', 'services', ',', 'telecommunications', ',', 'maritime', 'transport', 'and', 'delivery', 'services', '.']"
"It-tweġiba qabżet l-aspettattivi, b' total ta' 786 applikazzjoni riċevuti, li minnhom 730 kienu eliġibbli.","The response exceeded expectations, with a total of 786 applications received, of which 730 were eligible.","['It', '-', 'tweġiba', 'qabżet', 'l', '-', 'aspettattivi', ',', 'b', ""'"", 'total', 'ta', ""'"", '786', 'applikazzjoni', 'riċevuti', ',', 'li', 'minnhom', '730', 'kienu', 'eliġibbli', '.']","['The', 'response', 'exceeded', 'expectations', ',', 'with', 'a', 'total', 'of', '786', 'applications', 'received', ',', 'of', 'which', '730', 'were', 'eligible', '.']"
Kuntest ġenerali,Background,"['Kuntest', 'ġenerali']",['Background']
"Taħt tali miżuri, l-għajnuna tista' tingħata sal-31 ta' Diċembru 2025.","Under such measures, aid may be granted until 31 December 2025.","['Taħt', 'tali', 'miżuri', ',', 'l', '-', 'għajnuna', 'tista', ""'"", 'tingħata', 'sal-31', 'ta', ""'"", 'Diċembru', '2025', '.']","['Under', 'such', 'measures', ',', 'aid', 'may', 'be', 'granted', 'until', '31', 'December', '2025', '.']"
Il-Kummissjoni tadotta estensjoni limitata tal-għodod ta' kriżi tal-għajnuna mill-Istat biex tkompli tappoġġa s-setturi tal-agrikoltura u tas-sajd,Commission adopts limited prolongation of State aid crisis tools to further support agriculture and fisheries sectors,"['Il', '-', 'Kummissjoni', 'tadotta', 'estensjoni', 'limitata', 'tal', '-', 'għodod', 'ta', ""'"", 'kriżi', 'tal', '-', 'għajnuna', 'mill', '-', 'Istat', 'biex', 'tkompli', 'tappoġġa', 's', '-', 'setturi', 'tal', '-', 'agrikoltura', 'u', 'tas', '-', 'sajd']","['Commission', 'adopts', 'limited', 'prolongation', 'of', 'State', 'aid', 'crisis', 'tools', 'to', 'further', 'support', 'agriculture', 'and', 'fisheries', 'sectors']"
"B'mod aktar speċifiku, l-Istati Membri jistgħu jagħtu appoġġ lis-settur agrikolu sa EUR 20,000 għal kull benefiċjarju (EUR 25,000, jekk l-Istat Membru jkollu reġistru ċentrali biex jirreġistra l-għajnuna de minimis) fuq perjodu ta' 3 snin mingħajr notifika minn qabel lill-Kummissjoni għall-approvazzjoni.","More specifically, Member States can grant support to the agricultural sector of up to €20,000 per beneficiary (€25,000, if the Member State has a central register to register de minimis aid) over a period of 3 years without prior notification to the Commission for approval.","[""B'mod"", 'aktar', 'speċifiku', ',', 'l', '-', 'Istati', 'Membri', 'jistgħu', 'jagħtu', 'appoġġ', 'lis', '-', 'settur', 'agrikolu', 'sa', 'EUR', '20,000', 'għal', 'kull', 'benefiċjarju', '(', 'EUR', '25,000', ',', 'jekk', 'l', '-', 'Istat', 'Membru', 'jkollu', 'reġistru', 'ċentrali', 'biex', 'jirreġistra', 'l', '-', 'għajnuna', 'de', 'minimis', ')', 'fuq', 'perjodu', 'ta', ""'"", '3', 'snin', 'mingħajr', 'notifika', 'minn', 'qabel', 'lill', '-', 'Kummissjoni', 'għall', '-', 'approvazzjoni', '.']","['More', 'specifically', ',', 'Member', 'States', 'can', 'grant', 'support', 'to', 'the', 'agricultural', 'sector', 'of', 'up', 'to', '€', '20,000', 'per', 'beneficiary', '(', '€', '25,000', ',', 'if', 'the', 'Member', 'State', 'has', 'a', 'central', 'register', 'to', 'register', 'de', 'minimis', 'aid', ')', 'over', 'a', 'period', 'of', '3', 'years', 'without', 'prior', 'notification', 'to', 'the', 'Commission', 'for', 'approval', '.']"
"Taħt skemi bħal dawn, l-għajnuna tista' tingħata sal-31 ta' Diċembru 2025; wara dik id-data, ir-regoli tas-soltu dwar l-għajnuna mill-Istat se jkomplu japplikaw, inklużi b'mod partikolari d-dispożizzjonijiet korrispondenti tal-Linji Gwida dwar l-Għajnuna għall-Klima, l-Enerġija u l-Ambjent (CEEAG);","Under such schemes, aid may be granted until 31 December 2025; after that date, the usual State aid rules will continue to apply, including in particular the corresponding provisions of the Climate, Energy and Environmental Aid Guidelines (CEEAG);","['Taħt', 'skemi', 'bħal', 'dawn', ',', 'l', '-', 'għajnuna', 'tista', ""'"", 'tingħata', 'sal-31', 'ta', ""'"", 'Diċembru', '2025', ';', 'wara', 'dik', 'id', '-', 'data', ',', 'ir', '-', 'regoli', 'tas', '-', 'soltu', 'dwar', 'l', '-', 'għajnuna', 'mill', '-', 'Istat', 'se', 'jkomplu', 'japplikaw', ',', 'inklużi', ""b'mod"", 'partikolari', 'd', '-', 'dispożizzjonijiet', 'korrispondenti', 'tal', '-', 'Linji', 'Gwida', 'dwar', 'l', '-', 'Għajnuna', 'għall', '-', 'Klima', ',', 'l', '-', 'Enerġija', 'u', 'l', '-', 'Ambjent', '(', 'CEEAG', ')', ';']","['Under', 'such', 'schemes', ',', 'aid', 'may', 'be', 'granted', 'until', '31', 'December', '2025', ';', 'after', 'that', 'date', ',', 'the', 'usual', 'State', 'aid', 'rules', 'will', 'continue', 'to', 'apply', ',', 'including', 'in', 'particular', 'the', 'corresponding', 'provisions', 'of', 'the', 'Climate', ',', 'Energy', 'and', 'Environmental', 'Aid', 'Guidelines', '(', 'CEEAG', ')', ';']"
"F'termini tad-dimensjoni tal-ġeneru, 88 % tat-timijiet kienu jinkludu n-nisa.","In terms of gender dimension, 88% of the teams included women.","[""F'termini"", 'tad', '-', 'dimensjoni', 'tal', '-', 'ġeneru', ',', '88', '%', 'tat', '-', 'timijiet', 'kienu', 'jinkludu', 'n', '-', 'nisa', '.']","['In', 'terms', 'of', 'gender', 'dimension', ',', '88', '%', 'of', 'the', 'teams', 'included', 'women', '.']"
"It-taqsimiet 2.5, 2.6 u 2.8 li għandhom l-għan li jaċċelleraw it-tranżizzjoni ekoloġika u jnaqqsu d-dipendenzi fuq il-fjuwils se jibqgħu disponibbli sal-31 ta' Diċembru 2025.","Sections 2.5, 2.6 and 2.8 aimed at accelerating the green transition and reducing fuel dependencies will remain available until 31 December 2025.","['It', '-', 'taqsimiet', '2.5', ',', '2.6', 'u', '2.8', 'li', 'għandhom', 'l', '-', 'għan', 'li', 'jaċċelleraw', 'it', '-', 'tranżizzjoni', 'ekoloġika', 'u', 'jnaqqsu', 'd', '-', 'dipendenzi', 'fuq', 'il', '-', 'fjuwils', 'se', 'jibqgħu', 'disponibbli', 'sal-31', 'ta', ""'"", 'Diċembru', '2025', '.']","['Sections', '2.5', ',', '2.6', 'and', '2.8', 'aimed', 'at', 'accelerating', 'the', 'green', 'transition', 'and', 'reducing', 'fuel', 'dependencies', 'will', 'remain', 'available', 'until', '31', 'December', '2025', '.']"
"Bis-saħħa ta' dan il-ftehim, il-kummerċ bejn l-UE u New Zealand mistenni jiżdied b'massimu ta' 30 % fi żmien għaxar snin, bl-esportazzjonijiet tal-UE potenzjalment jiżdiedu b'massimu ta' €4.5 biljun fis-sena.","Thanks to this deal, EU-New Zealand trade is expected to grow by up to 30% within a decade, with EU exports potentially growing by up to €4.5 billion annually.","['Bis', '-', 'saħħa', 'ta', ""'"", 'dan', 'il', '-', 'ftehim', ',', 'il', '-', 'kummerċ', 'bejn', 'l', '-', 'UE', 'u', 'New', 'Zealand', 'mistenni', 'jiżdied', ""b'massimu"", 'ta', ""'"", '30', '%', 'fi', 'żmien', 'għaxar', 'snin', ',', 'bl', '-', 'esportazzjonijiet', 'tal', '-', 'UE', 'potenzjalment', 'jiżdiedu', ""b'massimu"", 'ta', ""'"", '€', '4.5', 'biljun', 'fis', '-', 'sena', '.']","['Thanks', 'to', 'this', 'deal', ',', 'EU', '-', 'New', 'Zealand', 'trade', 'is', 'expected', 'to', 'grow', 'by', 'up', 'to', '30', '%', 'within', 'a', 'decade', ',', 'with', 'EU', 'exports', 'potentially', 'growing', 'by', 'up', 'to', '€', '4.5', 'billion', 'annually', '.']"
Il-programm ta' Boroż ta' Studju jiffinanzja proġetti ta' riċerka mwettqa f'kollaborazzjoni mal-Infrastrutturi Ewropej tar-Riċerka.,The Fellowship Programme funds research projects conducted in collaboration with European Research Infrastructures.,"['Il', '-', 'programm', 'ta', ""'"", 'Boroż', 'ta', ""'"", 'Studju', 'jiffinanzja', 'proġetti', 'ta', ""'"", 'riċerka', 'mwettqa', ""f'kollaborazzjoni"", 'mal', '-', 'Infrastrutturi', 'Ewropej', 'tar', '-', 'Riċerka', '.']","['The', 'Fellowship', 'Programme', 'funds', 'research', 'projects', 'conducted', 'in', 'collaboration', 'with', 'European', 'Research', 'Infrastructures', '.']"
"L-Istati Membri jistgħu jistabbilixxu skemi għall-investimenti fis-sorsi kollha tal-enerġija rinnovabbli, inkluż fl-idroġenu rinnovabbli, fil-bijogass u fil-bijometan, fil-ħżin, u fis-sħana rinnovabbli, inkluż permezz ta' pompi tas-sħana, bi proċedura ta' sejħa għall-offerti simplifikata li tista' tiġi implimentata malajr, filwaqt li tinkludi biżżejjed salvagwardji biex jitħarsu l-kundizzjonijiet ekwivalenti.","Member States can set up schemes for investments in all renewable energy sources, including renewable hydrogen, biogas and biomethane, storage and renewable heat, including through heat pumps, with simplified tender procedures that can be quickly implemented, while including sufficient safeguards to protect the level playing field.","['L', '-', 'Istati', 'Membri', 'jistgħu', 'jistabbilixxu', 'skemi', 'għall', '-', 'investimenti', 'fis', '-', 'sorsi', 'kollha', 'tal', '-', 'enerġija', 'rinnovabbli', ',', 'inkluż', 'fl', '-', 'idroġenu', 'rinnovabbli', ',', 'fil', '-', 'bijogass', 'u', 'fil', '-', 'bijometan', ',', 'fil', '-', 'ħżin', ',', 'u', 'fis', '-', 'sħana', 'rinnovabbli', ',', 'inkluż', 'permezz', 'ta', ""'"", 'pompi', 'tas', '-', 'sħana', ',', 'bi', 'proċedura', 'ta', ""'"", 'sejħa', 'għall', '-', 'offerti', 'simplifikata', 'li', 'tista', ""'"", 'tiġi', 'implimentata', 'malajr', ',', 'filwaqt', 'li', 'tinkludi', 'biżżejjed', 'salvagwardji', 'biex', 'jitħarsu', 'l', '-', 'kundizzjonijiet', 'ekwivalenti', '.']","['Member', 'States', 'can', 'set', 'up', 'schemes', 'for', 'investments', 'in', 'all', 'renewable', 'energy', 'sources', ',', 'including', 'renewable', 'hydrogen', ',', 'biogas', 'and', 'biomethane', ',', 'storage', 'and', 'renewable', 'heat', ',', 'including', 'through', 'heat', 'pumps', ',', 'with', 'simplified', 'tender', 'procedures', 'that', 'can', 'be', 'quickly', 'implemented', ',', 'while', 'including', 'sufficient', 'safeguards', 'to', 'protect', 'the', 'level', 'playing', 'field', '.']"
"L-applikazzjonijiet eliġibbli koprew diversi oqsma tematiċi, bħal:","The eligible applications covered various thematic fields, such as:","['L', '-', 'applikazzjonijiet', 'eliġibbli', 'koprew', 'diversi', 'oqsma', 'tematiċi', ',', 'bħal', ':']","['The', 'eligible', 'applications', 'covered', 'various', 'thematic', 'fields', ',', 'such', 'as', ':']"
"Dan il-ftehim storiku jinkludi wkoll impenji ta' sostenibbiltà bla preċedenti, inkluż ir-rispett tal-Ftehim ta' Pariġi dwar il-Klima u d-drittijiet ewlenin tal-ħaddiema.","This landmark agreement also includes unprecedented sustainability commitments, including respect of the Paris Climate Agreement and core labour rights.","['Dan', 'il', '-', 'ftehim', 'storiku', 'jinkludi', 'wkoll', 'impenji', 'ta', ""'"", 'sostenibbiltà', 'bla', 'preċedenti', ',', 'inkluż', 'ir', '-', 'rispett', 'tal', '-', 'Ftehim', 'ta', ""'"", 'Pariġi', 'dwar', 'il', '-', 'Klima', 'u', 'd', '-', 'drittijiet', 'ewlenin', 'tal', '-', 'ħaddiema', '.']","['This', 'landmark', 'agreement', 'also', 'includes', 'unprecedented', 'sustainability', 'commitments', ',', 'including', 'respect', 'of', 'the', 'Paris', 'Climate', 'Agreement', 'and', 'core', 'labour', 'rights', '.']"
"Iffirmata fid-9 ta' Mejju 1950, id-dikjarazzjoni kienet pass ewlieni lejn il-kooperazzjoni fl-Ewropa, u l-paċi fil-kontinent tagħna.","Signed on 9 May 1950, the declaration was the stepping-stone to cooperation in Europe, and peace on our continent.","['Iffirmata', 'fid-9', 'ta', ""'"", 'Mejju', '1950', ',', 'id', '-', 'dikjarazzjoni', 'kienet', 'pass', 'ewlieni', 'lejn', 'il', '-', 'kooperazzjoni', 'fl', '-', 'Ewropa', ',', 'u', 'l', '-', 'paċi', 'fil', '-', 'kontinent', 'tagħna', '.']","['Signed', 'on', '9', 'May', '1950', ',', 'the', 'declaration', 'was', 'the', 'stepping', '-', 'stone', 'to', 'cooperation', 'in', 'Europe', ',', 'and', 'peace', 'on', 'our', 'continent', '.']"
"L-edizzjoni ta' Jum l-Ewropa ta' din is-sena se ssir 45 sena wara l-ewwel elezzjonijiet Ewropej fl-1979, u ftit qabel l-elezzjonijiet tal-2024 li se jsiru bejn is-6 u d-9 ta' Ġunju fil-pajjiżi kollha tal-UE.","This year's Europe Day edition takes place 45 years after the first European elections in 1979, and shortly before the elections of 2024 that will take place between 6-9 June in all EU countries.","['L', '-', 'edizzjoni', 'ta', ""'"", 'Jum', 'l', '-', 'Ewropa', 'ta', ""'"", 'din', 'is', '-', 'sena', 'se', 'ssir', '45', 'sena', 'wara', 'l', '-', 'ewwel', 'elezzjonijiet', 'Ewropej', 'fl-1979', ',', 'u', 'ftit', 'qabel', 'l', '-', 'elezzjonijiet', 'tal-2024', 'li', 'se', 'jsiru', 'bejn', 'is-6', 'u', 'd-9', 'ta', ""'"", 'Ġunju', 'fil', '-', 'pajjiżi', 'kollha', 'tal', '-', 'UE', '.']","['This', 'year', ""'s"", 'Europe', 'Day', 'edition', 'takes', 'place', '45', 'years', 'after', 'the', 'first', 'European', 'elections', 'in', '1979', ',', 'and', 'shortly', 'before', 'the', 'elections', 'of', '2024', 'that', 'will', 'take', 'place', 'between', '6', '-', '9', 'June', 'in', 'all', 'EU', 'countries', '.']"
"Illum, il-Kummissjoni Ewropea adottat emenda għall-Qafas Temporanju ta' Għajnuna mill-Istat ta' Kriżi u ta' Tranżizzjoni (State aid Temporary Crisis and Transition Framework, TCTF) biex testendi b'sitt xhur ċerti dispożizzjonijiet tal-Qafas li għandhom l-għan li jindirizzaw id-disturbi persistenti fis-suq speċifikament fis-setturi tal-agrikoltura u tas-sajd.","Today, the European Commission has adopted an amendment to the State aid Temporary Crisis and Transition Framework (TCTF) to prolong by six months certain provisions of the Framework aimed to address persisting market disturbances specifically in the agriculture and fisheries sectors.","['Illum', ',', 'il', '-', 'Kummissjoni', 'Ewropea', 'adottat', 'emenda', 'għall', '-', 'Qafas', 'Temporanju', 'ta', ""'"", 'Għajnuna', 'mill', '-', 'Istat', 'ta', ""'"", 'Kriżi', 'u', 'ta', ""'"", 'Tranżizzjoni', '(', 'State', 'aid', 'Temporary', 'Crisis', 'and', 'Transition', 'Framework', ',', 'TCTF', ')', 'biex', 'testendi', ""b'sitt"", 'xhur', 'ċerti', 'dispożizzjonijiet', 'tal', '-', 'Qafas', 'li', 'għandhom', 'l', '-', 'għan', 'li', 'jindirizzaw', 'id', '-', 'disturbi', 'persistenti', 'fis', '-', 'suq', 'speċifikament', 'fis', '-', 'setturi', 'tal', '-', 'agrikoltura', 'u', 'tas', '-', 'sajd', '.']","['Today', ',', 'the', 'European', 'Commission', 'has', 'adopted', 'an', 'amendment', 'to', 'the', 'State', 'aid', 'Temporary', 'Crisis', 'and', 'Transition', 'Framework', '(', 'TCTF', ')', 'to', 'prolong', 'by', 'six', 'months', 'certain', 'provisions', 'of', 'the', 'Framework', 'aimed', 'to', 'address', 'persisting', 'market', 'disturbances', 'specifically', 'in', 'the', 'agriculture', 'and', 'fisheries', 'sectors', '.']"
"Minkejja dawn l-isfidi, ix-xjenzati Ukreni għadhom impenjati għall-ħidma tagħhom.","Despite these challenges, Ukrainian scientists remain committed to their work.","['Minkejja', 'dawn', 'l', '-', 'isfidi', ',', 'ix', '-', 'xjenzati', 'Ukreni', 'għadhom', 'impenjati', 'għall', '-', 'ħidma', 'tagħhom', '.']","['Despite', 'these', 'challenges', ',', 'Ukrainian', 'scientists', 'remain', 'committed', 'to', 'their', 'work', '.']"
Se jkun hemm wirja ddedikata għall-20 anniversarju tat-tkabbir tal-UE tal-2004.,An exhibition will be dedicated to the 20th anniversary of the 2004 EU enlargement.,"['Se', 'jkun', 'hemm', 'wirja', 'ddedikata', 'għall-20', 'anniversarju', 'tat', '-', 'tkabbir', 'tal', '-', 'UE', 'tal-2004', '.']","['An', 'exhibition', 'will', 'be', 'dedicated', 'to', 'the', '20th', 'anniversary', 'of', 'the', '2004', 'EU', 'enlargement', '.']"
"Se jieħdu sehem f'taħditiet mal-ambaxxaturi għall-UE u jitgħallmu dwar ir-rwol tal-UE fil-promozzjoni tal-paċi, id-drittijiet tal-bniedem u l-iżvilupp sostenibbli fid-dinja.","They will engage in talks with EU ambassadors and learn about the EU's role in promoting peace, human rights and sustainable development in the world.","['Se', 'jieħdu', 'sehem', ""f'taħditiet"", 'mal', '-', 'ambaxxaturi', 'għall', '-', 'UE', 'u', 'jitgħallmu', 'dwar', 'ir', '-', 'rwol', 'tal', '-', 'UE', 'fil', '-', 'promozzjoni', 'tal', '-', 'paċi', ',', 'id', '-', 'drittijiet', 'tal', '-', 'bniedem', 'u', 'l', '-', 'iżvilupp', 'sostenibbli', 'fid', '-', 'dinja', '.']","['They', 'will', 'engage', 'in', 'talks', 'with', 'EU', 'ambassadors', 'and', 'learn', 'about', 'the', 'EU', ""'s"", 'role', 'in', 'promoting', 'peace', ',', 'human', 'rights', 'and', 'sustainable', 'development', 'in', 'the', 'world', '.']"
"Barra minn hekk, il-ftehim jipproteġi l-lista sħiħa tal-inbejjed u l-ispirti tal-UE (kważi 2,000 isem), bħal Prosecco u Champagne, kif ukoll 163 mill-aktar prodotti tradizzjonali magħrufin tal-UE (Indikazzjonijiet Ġeografiċi), bħall-ġobon Feta, il-perżut Istarski pršut u l-Lübecker Marzipan.","Moreover, the agreement protects the full list of EU wines and spirits (close to 2,000 names), such as Prosecco and Champagne, as well as 163 of the most renowned traditional EU products (Geographical Indications), such as Feta cheese, Istarski pršut ham and Lübecker Marzipan.","['Barra', 'minn', 'hekk', ',', 'il', '-', 'ftehim', 'jipproteġi', 'l', '-', 'lista', 'sħiħa', 'tal', '-', 'inbejjed', 'u', 'l', '-', 'ispirti', 'tal', '-', 'UE', '(', 'kważi', '2,000', 'isem', ')', ',', 'bħal', 'Prosecco', 'u', 'Champagne', ',', 'kif', 'ukoll', '163', 'mill', '-', 'aktar', 'prodotti', 'tradizzjonali', 'magħrufin', 'tal', '-', 'UE', '(', 'Indikazzjonijiet', 'Ġeografiċi', ')', ',', 'bħall', '-', 'ġobon', 'Feta', ',', 'il', '-', 'perżut', 'Istarski', 'pršut', 'u', 'l', '-', 'Lübecker', 'Marzipan', '.']","['Moreover', ',', 'the', 'agreement', 'protects', 'the', 'full', 'list', 'of', 'EU', 'wines', 'and', 'spirits', '(', 'close', 'to', '2,000', 'names', ')', ',', 'such', 'as', 'Prosecco', 'and', 'Champagne', ',', 'as', 'well', 'as', '163', 'of', 'the', 'most', 'renowned', 'traditional', 'EU', 'products', '(', 'Geographical', 'Indications', ')', ',', 'such', 'as', 'Feta', 'cheese', ',', 'Istarski', 'pršut', 'ham', 'and', 'Lübecker', 'Marzipan', '.']"
